line,champion1,champion2,winning_rage,match_count
Support,Braum,Thresh,52.13,869
Support,Braum,Leona,47.25,819
Support,Braum,Alistar,47.35,528
Support,Braum,Nautilus,49.51,513
Support,Braum,Blitzcrank,49,498
Support,Braum,Senna,45.9,427
Support,Braum,Lulu,49.51,410
Support,Braum,Xerath,41.2,267
Support,Braum,Pyke,50.38,264
Support,Braum,Lux,51.15,217
Support,Braum,Yuumi,61.4,215
Support,Braum,Morgana,57.07,205
Support,Braum,Maokai,45.93,172
Support,Braum,Pantheon,52.23,157
Support,Braum,Galio,47.14,140
Support,Braum,Karma,47.1,138
Support,Braum,Sett,53.38,133
Support,Braum,Swain,50.47,107
Support,Braum,Rell,47.73,88
Support,Braum,Shaco,41.67,84
Support,Braum,Brand,44.74,76
Support,Braum,Soraka,46.67,75
Support,Braum,Zilean,52.05,73
Support,Braum,Zyra,40.28,72
Support,Braum,Janna,41.79,67
Support,Braum,Bard,34.85,66
Support,Braum,Seraphine,49.15,59
Support,Braum,Rakan,48.28,58
Support,Braum,Vel'Koz,46.15,52
Bottom,Caitlyn,Ezreal,52.38,"11,637"
Bottom,Caitlyn,Kai'Sa,49.81,"9,582"
Bottom,Caitlyn,Jinx,49.33,"7,592"
Bottom,Caitlyn,Samira,49.4,"6,637"
Bottom,Caitlyn,Jhin,48.81,"5,356"
Bottom,Caitlyn,Vayne,49.81,"3,632"
Bottom,Caitlyn,Tristana,50.5,"3,087"
Bottom,Caitlyn,Ashe,49.1,"2,931"
Bottom,Caitlyn,Varus,49.6,"2,127"
Bottom,Caitlyn,Sivir,48.1,"2,058"
Bottom,Caitlyn,Miss Fortune,49.56,"1,830"
Bottom,Caitlyn,Lucian,52.72,"1,578"
Bottom,Caitlyn,Aphelios,55.68,792
Bottom,Caitlyn,Kog'Maw,53.05,754
Bottom,Caitlyn,Xayah,53.08,616
Bottom,Caitlyn,Kalista,52.75,527
Bottom,Caitlyn,Senna,46.45,493
Bottom,Caitlyn,Draven,53.93,484
Bottom,Caitlyn,Twitch,48.39,467
Bottom,Caitlyn,Swain,44.41,322
Bottom,Caitlyn,Yasuo,50.94,318
Bottom,Caitlyn,Tahm Kench,40.91,176
Top,Camille,Aatrox,51.95,"1,126"
Top,Camille,Sett,49.46,934
Top,Camille,Sylas,49.22,774
Top,Camille,Renekton,47.63,634
Top,Camille,Shen,46.75,554
Top,Camille,Irelia,53.23,526
Top,Camille,Fiora,53.36,476
Top,Camille,Akali,52.98,470
Top,Camille,Garen,55.26,409
Top,Camille,Lee Sin,49,400
Top,Camille,Ornn,48.28,379
Top,Camille,Darius,44.54,366
Top,Camille,Gwen,51.66,362
Top,Camille,Jax,50.28,358
Top,Camille,Jayce,51.82,357
Top,Camille,Malphite,46.59,352
Top,Camille,Mordekaiser,45.82,323
Top,Camille,Gnar,49.36,312
Top,Camille,Kayle,44.93,276
Top,Camille,Riven,51.16,258
Top,Camille,Volibear,47.2,250
Top,Camille,Vladimir,50,240
Top,Camille,Poppy,48.91,229
Top,Camille,Wukong,54.29,210
Top,Camille,Rumble,51.44,208
Top,Camille,Sion,51.24,201
Top,Camille,Nasus,46.5,200
Top,Camille,Kennen,52.2,159
Top,Camille,Vayne,48.41,157
Top,Camille,Kled,55.84,154
Top,Camille,Urgot,51.97,152
Top,Camille,Teemo,43.33,150
Top,Camille,Gangplank,48.3,147
Top,Camille,Tryndamere,48.85,131
Top,Camille,Viego,46.72,122
Top,Camille,Lucian,55.08,118
Top,Camille,Illaoi,49.54,109
Top,Camille,Maokai,44.12,102
Top,Camille,Cho'Gath,47.37,95
Top,Camille,Rengar,52.63,95
Top,Camille,Yasuo,52.13,94
Top,Camille,Warwick,54.55,88
Top,Camille,Ryze,44.71,85
Top,Camille,Zac,59.04,83
Top,Camille,Nocturne,42.67,75
Top,Camille,Dr. Mundo,53.52,71
Top,Camille,Heimerdinger,47.83,69
Top,Camille,Quinn,55.56,63
Top,Camille,Singed,36.51,63
Top,Camille,Kalista,63.93,61
Top,Camille,Yone,43.4,53
Top,Camille,Yorick,52.94,51
Jungle,Camille,Lee Sin,44.94,316
Jungle,Camille,Rumble,40.78,103
Jungle,Camille,Diana,47.92,96
Jungle,Camille,Kindred,43.16,95
Jungle,Camille,Morgana,40.22,92
Jungle,Camille,Elise,37.36,91
Jungle,Camille,Nidalee,52.94,85
Jungle,Camille,Shaco,46.15,78
Jungle,Camille,Viego,42.86,77
Jungle,Camille,Kayn,46.58,73
Jungle,Camille,Xin Zhao,41.67,72
Jungle,Camille,Graves,45.9,61
Jungle,Camille,Nocturne,49.15,59
