from,to,title,length,win,color,arrows,dashes,value,smooth
3,117,<p> Match Cnt : <b>387</b><br> Winning rate : <b>52.45</b></p>,1000,52.45,#8CB4F7,to,FALSE,387,FALSE
3,71,<p> Match Cnt : <b>367</b><br> Winning rate : <b>47.96</b></p>,1000,47.96,#F6807F,to,FALSE,367,FALSE
3,67,<p> Match Cnt : <b>343</b><br> Winning rate : <b>45.77</b></p>,1000,45.77,#F6807F,to,FALSE,343,FALSE
3,20,<p> Match Cnt : <b>316</b><br> Winning rate : <b>41.77</b></p>,1000,41.77,#F6807F,to,FALSE,316,FALSE
3,83,<p> Match Cnt : <b>315</b><br> Winning rate : <b>50.48</b></p>,1000,50.48,#8CB4F7,to,FALSE,315,FALSE
3,81,<p> Match Cnt : <b>309</b><br> Winning rate : <b>50.49</b></p>,1000,50.49,#8CB4F7,to,FALSE,309,FALSE
3,7,<p> Match Cnt : <b>305</b><br> Winning rate : <b>43.61</b></p>,1000,43.61,#F6807F,to,FALSE,305,FALSE
3,38,<p> Match Cnt : <b>285</b><br> Winning rate : <b>54.04</b></p>,1000,54.04,#8CB4F7,to,FALSE,285,FALSE
3,18,<p> Match Cnt : <b>273</b><br> Winning rate : <b>52.38</b></p>,1000,52.38,#8CB4F7,to,FALSE,273,FALSE
3,124,<p> Match Cnt : <b>231</b><br> Winning rate : <b>46.32</b></p>,1000,46.32,#F6807F,to,FALSE,231,FALSE
3,34,<p> Match Cnt : <b>216</b><br> Winning rate : <b>56.02</b></p>,1000,56.02,#8CB4F7,to,FALSE,216,FALSE
3,11,<p> Match Cnt : <b>207</b><br> Winning rate : <b>49.76</b></p>,1000,49.76,#F6807F,to,FALSE,207,FALSE
3,61,<p> Match Cnt : <b>184</b><br> Winning rate : <b>38.04</b></p>,1000,38.04,#F6807F,to,FALSE,184,FALSE
3,84,<p> Match Cnt : <b>181</b><br> Winning rate : <b>51.38</b></p>,1000,51.38,#8CB4F7,to,FALSE,181,FALSE
3,19,<p> Match Cnt : <b>155</b><br> Winning rate : <b>51.61</b></p>,1000,51.61,#8CB4F7,to,FALSE,155,FALSE
3,99,<p> Match Cnt : <b>149</b><br> Winning rate : <b>46.98</b></p>,1000,46.98,#F6807F,to,FALSE,149,FALSE
3,149,<p> Match Cnt : <b>136</b><br> Winning rate : <b>46.32</b></p>,1000,46.32,#F6807F,to,FALSE,136,FALSE
3,10,<p> Match Cnt : <b>132</b><br> Winning rate : <b>40.91</b></p>,1000,40.91,#F6807F,to,FALSE,132,FALSE
3,141,<p> Match Cnt : <b>108</b><br> Winning rate : <b>38.89</b></p>,1000,38.89,#F6807F,to,FALSE,108,FALSE
3,111,<p> Match Cnt : <b>97</b><br> Winning rate : <b>49.48</b></p>,1000,49.48,#F6807F,to,FALSE,97,FALSE
3,17,<p> Match Cnt : <b>69</b><br> Winning rate : <b>55.07</b></p>,1000,55.07,#8CB4F7,to,FALSE,69,FALSE
3,116,<p> Match Cnt : <b>3042</b><br> Winning rate : <b>47.47</b></p>,1000,47.47,#F6807F,to,FALSE,3042,FALSE
3,106,<p> Match Cnt : <b>2433</b><br> Winning rate : <b>48.01</b></p>,1000,48.01,#F6807F,to,FALSE,2433,FALSE
3,1,<p> Match Cnt : <b>2200</b><br> Winning rate : <b>47.36</b></p>,1000,47.36,#F6807F,to,FALSE,2200,FALSE
