id,shape,size,title,value,label,group,color,shadow
8,square,42552,<p>Line : <b>A</b><br>Match Cnt : <b>42552</b><br>Tier : <b>5</b></p>,4255200,Aphelios,A,#FDC086,FALSE
4,diamond,62761,<p>Line : <b>S</b><br>Match Cnt : <b>62761</b><br>Tier : <b>2</b></p>,6276100,Alistar,S,#FCCDE5,FALSE
7,circle,39376,<p>Line : <b>M</b><br>Match Cnt : <b>39376</b><br>Tier : <b>3</b></p>,3937600,Annie,M,#E5C494,FALSE
6,triangle,8384,<p>Line : <b>MS</b><br>Match Cnt : <b>8384</b><br>Tier : <b>4</b></p>,838400,Anivia,MS,#8DA0CB,FALSE
9,triangle,12629,<p>Line : <b>A</b><br>Match Cnt : <b>12629</b><br>Tier : <b>4</b></p>,1262900,Ashe,A,#FDC086,FALSE
145,square,24819,<p>Line : <b>TMA</b><br>Match Cnt : <b>24819</b><br>Tier : <b>5</b></p>,2481900,Yasuo,TMA,#F2F2F2,FALSE
25,circle,44190,<p>Line : <b>JM</b><br>Match Cnt : <b>44190</b><br>Tier : <b>3</b></p>,4419000,Ekko,JM,#FFFF33,FALSE
26,star,28991,<p>Line : <b>J</b><br>Match Cnt : <b>28991</b><br>Tier : <b>1</b></p>,2899100,Elise,J,#FFFFCC,FALSE
141,square,68358,<p>Line : <b>TJM</b><br>Match Cnt : <b>68358</b><br>Tier : <b>5</b></p>,6835800,Wukong,TJM,#666666,FALSE
87,diamond,22848,<p>Line : <b>T</b><br>Match Cnt : <b>22848</b><br>Tier : <b>2</b></p>,2284800,Ornn,T,#BEAED4,FALSE
86,square,6045,<p>Line : <b>M</b><br>Match Cnt : <b>6045</b><br>Tier : <b>5</b></p>,604500,Orianna,M,#E5C494,FALSE
85,triangle,10822,<p>Line : <b>J</b><br>Match Cnt : <b>10822</b><br>Tier : <b>4</b></p>,1082200,Olaf,J,#FFFFCC,FALSE
146,square,13099,<p>Line : <b>TM</b><br>Match Cnt : <b>13099</b><br>Tier : <b>5</b></p>,1309900,Yone,TM,#E41A1C,FALSE
147,square,14509,<p>Line : <b>T</b><br>Match Cnt : <b>14509</b><br>Tier : <b>5</b></p>,1450900,Yorick,T,#BEAED4,FALSE
129,triangle,14027,<p>Line : <b>J</b><br>Match Cnt : <b>14027</b><br>Tier : <b>4</b></p>,1402700,Udyr,J,#FFFFCC,FALSE
130,square,81418,<p>Line : <b>T</b><br>Match Cnt : <b>81418</b><br>Tier : <b>5</b></p>,8141800,Urgot,T,#BEAED4,FALSE
140,triangle,10483,<p>Line : <b>TJ</b><br>Match Cnt : <b>10483</b><br>Tier : <b>4</b></p>,1048300,Warwick,TJ,#CBD5E8,FALSE
148,circle,36498,<p>Line : <b>S</b><br>Match Cnt : <b>36498</b><br>Tier : <b>3</b></p>,3649800,Yuumi,S,#FCCDE5,FALSE
42,square,118017,<p>Line : <b>TM</b><br>Match Cnt : <b>118017</b><br>Tier : <b>5</b></p>,11801700,Irelia,TM,#E41A1C,FALSE
27,diamond,13860,<p>Line : <b>J</b><br>Match Cnt : <b>13860</b><br>Tier : <b>2</b></p>,1386000,Evelynn,J,#FFFFCC,FALSE
28,circle,97116,<p>Line : <b>A</b><br>Match Cnt : <b>97116</b><br>Tier : <b>3</b></p>,9711600,Ezreal,A,#FDC086,FALSE
41,square,7943,<p>Line : <b>T</b><br>Match Cnt : <b>7943</b><br>Tier : <b>5</b></p>,794300,Illaoi,T,#BEAED4,FALSE
